Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2023-03-26 17:52:29;"Afternoon Workout";"Running";1;;;;;;km;900;"";"";37m
2023-03-26 17:52:29;"Afternoon Workout";"Lateral Raise (Dumbbell)";1;6;kg;12;;;;0;"";;37m
2023-03-26 17:52:29;"Afternoon Workout";"Overhead Press (Dumbbell)";1;12;kg;10;;;;0;"";;37m
2023-03-26 17:52:29;"Afternoon Workout";"Overhead Press (Dumbbell)";2;16;kg;8;;;;0;;;37m
2023-03-26 17:52:29;"Afternoon Workout";"Overhead Press (Dumbbell)";3;18;kg;6;;;;0;;;37m
2023-03-26 17:52:29;"Afternoon Workout";"Reverse Curl (Barbell)";1;25;kg;8;;;;0;"";;37m
2023-03-26 17:52:29;"Afternoon Workout";"Reverse Curl (Barbell)";2;30;kg;3;;;;0;;;37m
2023-03-26 17:52:29;"Afternoon Workout";"Barbell wrist curl";1;30;kg;15;;;;0;"";;37m
2023-03-26 17:52:29;"Afternoon Workout";"Shoulder Press (Plate Loaded)";1;10;kg;12;;;;0;"";;37m
2023-03-26 17:52:29;"Afternoon Workout";"Shoulder Press (Plate Loaded)";2;20;kg;8;;;;0;;;37m
2023-03-26 17:52:29;"Afternoon Workout";"Shoulder Press (Plate Loaded)";3;25;kg;5;;;;0;;;37m
2023-12-01 17:05:07;"Afternoon Workout";"huppelen";1;;;;;1.78;km;900;"";"";1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Bench Press (Barbell)";1;40;kg;6;;;;0;"";;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Bench Press (Barbell)";2;60;kg;3;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Bench Press (Barbell)";3;70;kg;3;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Bench Press (Barbell)";4;70;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Bench Press (Barbell)";5;70;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Bench Press (Barbell)";6;70;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Incline Bench Press (Dumbbell)";1;20;kg;8;;;;0;"";;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Incline Bench Press (Dumbbell)";2;26;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Incline Bench Press (Dumbbell)";3;26;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Incline Bench Press (Dumbbell)";4;26;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Skullcrusher (Barbell)";1;25;kg;8;;;;0;"";;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Skullcrusher (Barbell)";2;25;kg;12;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"Skullcrusher (Barbell)";3;25;kg;12;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"dip (machine)";1;41;kg;12;;;;0;"";;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"dip (machine)";2;54;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"dip (machine)";3;64;kg;8;;;;0;;;1h 5m
2023-12-01 17:05:07;"Afternoon Workout";"dip (machine)";4;64;kg;8;;;;0;;;1h 5m
2023-12-03 18:11:04;"Evening Workout";"huppelen";1;;;;;1.65;km;900;"";"benen";1h 4m
2023-12-03 18:11:04;"Evening Workout";"Trap Bar Deadlift";1;60;kg;8;;;;0;"";;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Trap Bar Deadlift";2;100;kg;6;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Trap Bar Deadlift";3;140;kg;6;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Trap Bar Deadlift";4;140;kg;6;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Trap Bar Deadlift";5;140;kg;6;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Squat (Barbell)";1;40;kg;7;;;;0;"";;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Squat (Barbell)";2;60;kg;3;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Squat (Barbell)";3;70;kg;8;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Squat (Barbell)";4;70;kg;8;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Squat (Barbell)";5;70;kg;8;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Seated Leg Press (Machine)";1;93;kg;10;;;;0;"";;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Seated Leg Press (Machine)";2;113;kg;10;;;;0;;;1h 4m
2023-12-03 18:11:04;"Evening Workout";"Seated Leg Press (Machine)";3;154;kg;2;;;;0;;;1h 4m
2023-12-04 19:50:55;"Evening Workout";"Lateral Raise (Machine)";1;45;kg;12;;;;0;"";"schouders";53m
2023-12-04 19:50:55;"Evening Workout";"Lateral Raise (Machine)";2;59;kg;12;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Lateral Raise (Machine)";3;73;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Lateral Raise (Machine)";4;73;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Lateral Raise (Machine)";5;73;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Overhead Press (Barbell)";1;20;kg;12;;;;0;"";;53m
2023-12-04 19:50:55;"Evening Workout";"Overhead Press (Barbell)";2;30;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Overhead Press (Barbell)";3;30;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Overhead Press (Barbell)";4;30;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Seated Overhead Press (Dumbbell)";1;18;kg;12;;;;0;"";;53m
2023-12-04 19:50:55;"Evening Workout";"Seated Overhead Press (Dumbbell)";2;20;kg;10;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Seated Overhead Press (Dumbbell)";3;20;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Seated Palms Up Wrist Curl (Dumbbell)";1;12;kg;12;;;;0;"";;53m
2023-12-04 19:50:55;"Evening Workout";"Seated Palms Up Wrist Curl (Dumbbell)";2;12;kg;12;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"Seated Palms Up Wrist Curl (Dumbbell)";3;12;kg;12;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"seated palms down wrist curl (dumbbells)";1;8;kg;7;;;;0;"";;53m
2023-12-04 19:50:55;"Evening Workout";"seated palms down wrist curl (dumbbells)";2;8;kg;8;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"seated palms down wrist curl (dumbbells)";3;8;kg;10;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"seated palms down wrist curl (dumbbells)";4;4;kg;21;;;;0;;;53m
2023-12-04 19:50:55;"Evening Workout";"seated palms down wrist curl (dumbbells)";5;4;kg;21;;;;0;;;53m
2023-12-05 16:00:55;"Afternoon Workout";"huppelen";1;;;;;1.96;km;900;"";"rug biceps";50m
2023-12-05 16:00:55;"Afternoon Workout";"Pull Up (Assisted)";1;27;kg;12;;;;0;"";;50m
2023-12-05 16:00:55;"Afternoon Workout";"Pull Up (Assisted)";2;18;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Pull Up (Assisted)";3;18;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Pull Up (Assisted)";4;18;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Seated Row (Machine)";1;52;kg;12;;;;0;"";;50m
2023-12-05 16:00:55;"Afternoon Workout";"Seated Row (Machine)";2;66;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Seated Row (Machine)";3;66;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Seated Row (Machine)";4;66;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"seated hammer curls";1;12;kg;12;;;;0;"";;50m
2023-12-05 16:00:55;"Afternoon Workout";"seated hammer curls";2;16;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"seated hammer curls";3;16;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"seated hammer curls";4;18;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Concentration Curl (Dumbbell)";1;14;kg;8;;;;0;"";;50m
2023-12-05 16:00:55;"Afternoon Workout";"Concentration Curl (Dumbbell)";2;14;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Concentration Curl (Dumbbell)";3;14;kg;8;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Bicep Curl (Barbell)";1;25;kg;12;;;;0;"";;50m
2023-12-05 16:00:55;"Afternoon Workout";"Bicep Curl (Barbell)";2;25;kg;12;;;;0;;;50m
2023-12-05 16:00:55;"Afternoon Workout";"Bicep Curl (Barbell)";3;25;kg;14;;;;0;;;50m
2023-12-06 15:12:35;"Afternoon Workout";"huppelen";1;;;;;1.22;km;600;"";"borst triceps";51m
2023-12-06 15:12:35;"Afternoon Workout";"Bench Press (Barbell)";1;40;kg;8;;;;0;"";;51m
2023-12-06 15:12:35;"Afternoon Workout";"Bench Press (Barbell)";2;60;kg;4;;;;0;;;51m
